TRACK_ID,caption
track_0006251,"A low-quality recording of a wide sustained strings melody playing over a mellow flute melody. || strings, flute, sustained, mellow"
track_0006253,"Melancholic piano piece with a grandiose tune playing, evoking feelings of sadness but also hopefulness through the progression of keys. | piano, emotional, somber, uplifting"
track_0006252,"A majestic orchestra playing a grand waltz with lush strings, timpani rolls, and a harp. || orchestral, waltz, grand, lush"
track_0006256,"A futuristic instrumental with an eerie atmosphere, featuring synthesizers and strings, accompanied by a percussive bass line and a xylophone-like instrument playing a melody. Keywords: sci-fi, suspenseful, intense, eerie."
track_0006254,"A grand orchestral piece playing a thrilling and adventurous theme with lush strings, epic drums, and bold brass. Keywords: orchestral, thrilling, adventurous, lush."
track_0006258,"A grand orchestral piece featuring cinematic strings, brass, and percussion playing an epic melody with a sense of drama and triumph. Keywords: orchestral, cinematic, epic, triumphant."
track_0006257,"A synthesized string melody plays over a mellow piano arpeggio in this amateur recording of a video game soundtrack. Keywords: video game soundtrack, synth strings, piano arpeggio, amateur recording."
track_0006606,"A passionate male vocalist sings this emotional melody with accompaniment from synthesizers, drums, and electric guitar. Keywords: love, passion, emotional, melodic."
track_0006607,"A passionate male vocalist sings this melodic rock song with a guitar lead and drums accompaniment. The song is energetic and has a dance groove. Keywords: Rock, Male vocals, Passionate, Dance groove."
track_0006609,"A passionate male vocalist sings this emotional melody with accompaniment from electric guitar, synthesizer, bass, and drums. Keywords: rock, alternative, emotional, passionate."
track_0006608,"A passionate male vocalist sings this groovy pop song. The tempo is medium with an electric guitar lead, groovy bass lines, slick drumming and synthesiser arrangements. The song is youthful, energetic, passionate, emotional and groovy. Keywords: passionate, groovy,"
track_0006610,"A passionate male vocalist sings this upbeat pop song with a groovy bass line, keyboard accompaniment, electric guitar riffs, and drums. The song is energetic and has a dance groove. Keywords: passionate, male vocals, upbeat, pop, groovy bass, keyboard"
track_0006611,"A passionate male vocalist sings this emotional melody. Keywords: love, romantic, heartfelt, sentimental."
track_0006720,"A poignant ballad featuring a melancholic piano arpeggio and a soulful male vocal performance. | piano, arpeggio, vocal, melancholy"
track_0006719,"A passionate male vocalist sings this emotional ballad. The tempo is slow with a poignant piano accompaniment and no other instrumentation. The song is emotional, sentimental, poignant, and heartfelt."
track_0006721,"A passionate male vocalist sings this emotional ballad. Keywords: passionate, male vocals, emotional, ballad."
track_0006722,"A passionate male vocalist sings this emotional melody over a gentle piano accompaniment. Keywords: passionate, emotional, melodic, gentle."
track_0006724,"A passionate male vocalist sings this emotional melody over a gentle piano arpeggio and a subtle electric guitar strumming. The song is emotional, sentimental, poignant, and heartfelt. || passionate, emotional, sentimental, poignant"
track_0006723,"A male vocalist sings this poignant melody. The tempo is medium with keyboard accompaniment, steady drumming, groovy bass lines and guitar rhythm. The song is emotional, sentimental, nostalgic, poignant and soft. This song is Contemporary Pop. Keywords: Male vocals, Medium"
track_0006726,"A melancholic country ballad with acoustic guitar and pedal steel guitar, featuring a sad male vocal. Keywords: country, ballad, acoustic guitar, pedal steel guitar."
track_0006725,"A gentle melody flows from a keyboard, evoking a sense of peace and tranquility. || peaceful, calming, melodic, serene"
track_0006727,"Melancholic piano piece with a grandiose feel, evoking deep emotions. || melancholy, grandiose, emotional, evocative"
track_0006728,"A passionate male vocalist sings this emotional melody over a grand piano accompaniment. Keywords: passionate, male vocals, emotional, grand piano."
track_0006729,"A passionate male vocalist sings this emotional ballad. The tempo is slow with an acoustic piano accompaniment and a subtle bass line. The song is emotional, sentimental, poignant, tender and heartfelt."
track_0006730,"A passionate male vocalist sings this emotional melody on a grand piano. Keywords: passionate, male vocals, grand piano, emotional."
track_0006731,"A gentle, emotional ballad with a soothing piano melody and passionate male vocal performance. Keywords: soft, sentimental, melodic, emotional."
track_0006732,"A melancholic piano piece with a sentimental male vocal performance. Keywords: emotional, melodic, introspective, poignant."
track_0007359,"A soothing ballad featuring a gentle male vocal and atmospheric synthesizer over a slow rock beat. Keywords: calming, relaxing, soft, mellow."
track_0007358,"A passionate male vocalist sings this emotional R&B song with a groovy bass line, funky electric guitar, and keyboard accompaniment. The song is a blend of pop and R&B genres with additional percussion instruments. Keywords: passionate, emotional, R&B, groovy,"
track_0007361,"A soothing pop ballad features a gentle male vocal singing over electric guitar arpeggios and a simple bassline, complemented by mellow piano chords and subtle drums. Keywords: soft, calming, melodic, peaceful."
track_0007360,"A soft male vocalist sings this emotional melody with accompaniment of piano and guitar. The song is slow tempo with steady drumming rhythm, groovy bass line and keyboard harmony. The song is romantic and passionate. Keywords: love, romance, emotional, passionate."
track_0007362,"A soothing male vocalist sings this emotional melody with accompaniment from a piano and synthesizer. Keywords: emotional, melodic, soothing, male vocals."
track_0007363,"A passionate male vocalist sings this emotional melody. The song is medium tempo with a groovy bass line, keyboard accompaniment, electric guitar harmony and syncopated drumming rhythm. The song is emotional and passionate. Keywords: passionate, emotional, medium tempo, groovy"
track_0007364,"A high-energy electronic dance track with heavy drums and synthesizers, creating an immersive atmosphere suitable for a nightclub or festival. Keywords: electronic dance, heavy drums, synthesizers, immersive atmosphere."
track_0007391,"A melancholic instrumental rock piece with acoustic guitar and drums playing a slow beat, accompanied by synthesizers and bass. Keywords: rock, melancholic, instrumental, slow."
track_0007395,"A groovy electronic piece with heavy bass and beats, playing in the background of a chill, indoor atmosphere. Keywords: electronic, chill, indoor, groovy."
track_0007394,"A soothing pop rock ballad with a steady drum beat, featuring a piano and guitar. Love, peace, hope, inspiration. || love, peace, hope, inspiration"
track_0007397,"A funky guitar melody plays with a groovy bassline and syncopated snare in the background. || funky, guitar, bass, drums"
track_0007396,"A slow and meditative ambient piece with guitar and synthesizer, feeling happy and nostalgic. Keywords: slow, meditative, ambient, guitar, synthesizer."
track_0007401,"A sentimental orchestral piece with lush strings, simple piano melody, and mellow drums playing in the background. || orchestral, sentimental, strings, drums"
track_0007400,"A soft, ambient synth track with gentle arpeggiated chords and a slow tempo drum beat. Keywords: ambient, synth, soft, slow."
track_0009830,"A dark and heavy rock piece with drums, guitar, and bass that creates an aggressive atmosphere. Keywords: rock, dark, heavy, aggressive."
track_0009592,"A fast and energetic electronic piece with synthesizers, drums, and bass, creating an upbeat and loud atmosphere. Keywords: techno, dance, synthpop, high energy."
track_0009832,"A passionate male vocalist sings this energetic rock song. Keywords: Rock, Male vocals, Passionate, Energy."
track_0009831,"A passionate male vocalist sings this energetic rock song. Keywords: Rock, Male vocals, Passionate, Energy."
track_0009834,"A haunting instrumental piece featuring an electric guitar playing a descending melody with a menacing undertone. Keywords: spooky, eerie, sinister, scary."
track_0009833,"A distorted electric guitar takes the lead in this heavy and energetic rock piece, accompanied by a driving bass and a loud rock acoustic drum beat. The atmosphere is rebellious, perfect for a soundtrack. Rock, Heavy Metal, Electric Guitar, Acoustic Drums."
track_0009835,"A gritty electric guitar leads the charge with a distorted sound in this heavy metal piece, complemented by a boomy bass guitar and a loud, aggressive acoustic drum beat. The overall atmosphere is raw and intense, perfect for a scene in a noir film where characters face off against"
track_0009836,"A gritty and energetic rock piece with drums, guitar, bass, and electric guitar. Keywords: rock, drums, guitar, bass."
track_0009837,"A heavy and thunderous metal track featuring electric guitar, bass guitar, drums, and vocals. Keywords: heavy, thunderous, metal, electric guitar."
track_0009838,"A loud, energetic rock piece with drums and electric guitar. Keywords: rock, drums, electric guitar, aggressive."
track_0009839,"A gritty, thunderous metal piece with a distorted electric guitar lead and heavy bass guitar over a relentless acoustic drum beat. Keywords: heavy, distorted, aggressive, thunderous."
track_0011006,"A dark and suspenseful electronic piece with synthesizers, drums, and bass. Keywords: electronic, dark, suspenseful, intense."
track_0011747,"The low quality recording features a passionate electric guitar melody played over smooth double bass and reverberant arpeggiated acoustic guitar chords. It sounds dreamy, chill, groovy and passionate. Keywords: passionate, chill, groovy, dreamy."
track_0011745,"A soulful electric guitar melody over a bluesy bassline and funky drums creates a groovy atmosphere perfect for a road trip scene in a movie. Keywords: soulful, electric guitar, bluesy, funky."
track_0011750,"The low quality recording features a cover of a rock song and it consists of a mellow electric guitar melody played over a groovy bass guitar. It sounds passionate and emotional. The recording is noisy and in mono. Keywords: passionate, emotional, groovy, noisy."
track_0011751,"A melodic rock piece with drums and electric guitar featuring a happy mood. Keywords: rock, drums, electric guitar, happy."
track_0011760,"A soulful acoustic guitar melody weaves through a bluesy chord progression, accompanied by a bass and drums, creating a relaxed yet groovy atmosphere. Keywords: soulful, acoustic guitar, bluesy, groovy."
track_0011756,"A guitarist playing a soulful melody on an acoustic guitar with fingerpicking and slides between chord changes. blues, emotional, passionate, soothing."
track_0011765,"A soothing instrumental piece with gentle guitar arpeggios and ambient background vocals, accompanied by nature sounds like birds chirping and waves crashing. Keywords: calming, relaxing, soft, peaceful."
track_0011767,"A fast-paced instrumental rock piece with drums and guitar, featuring bass and synthesizer sounds. Keywords: rock, instrumental, fast-paced, energetic."
track_0011773,"A smooth jazz guitar solo over a mellow backing track with light rimshots and fingerpicked bassline. Keywords: smooth jazz, guitar solo, mellow, light rimshots."
track_0011771,"A solo electric guitarist playing a bluesy piece with fingerpicking and slides over a clean sounding backing track featuring an e-guitar and bass. | blues, guitar, fingerpicking, slides"
track_0011840,"A poignant instrumental piece with a slow tempo featuring an acoustic guitar playing a soft and soothing melody accompanied by a bass guitar and percussion. The atmosphere is dreamy, ethereal, calming, and melodic."
track_0011839,"A gentle instrumental piece with soothing guitar arpeggios and a solo bass guitar playing a mellow melody. Keywords: soft, relaxing, ambient, acoustic."
track_0011842,"A soothing instrumental piece with acoustic guitar and electric guitar playing a gentle melody, accompanied by a bass guitar and subtle percussion creating a relaxing atmosphere. Keywords: soft, calming, melodic, serene."
track_0011841,"A soothing instrumental piece with gentle guitar arpeggios and a clean electric guitar solo over a simple bassline and mellow drums creates a relaxing atmosphere suitable for meditation. Keywords: soft, calming, serene, peaceful."
track_0011843,"A soothing instrumental piece with gentle guitar arpeggios and a flowing flute melody. Keywords: calming, peaceful, soft, serene."
track_0011844,"A soft instrumental piece with acoustic guitar and electric guitar arpeggios, accompanied by bass and drums, creating a relaxing atmosphere suitable for a summer day. Keywords: soft, instrumental, acoustic, electric, guitar, bass, drums, relaxing, summer."
track_0011845,"A gentle acoustic guitar melody weaves through a lush, harmonized background of electric guitars and synth pads, evoking a dreamy, feel-good mood suitable for a coffee shop ambiance or as wedding reception music. Keywords: soft, melodic, ambient, cheerful."
track_0012099,"A aggressive male vocalist sings this hard-hitting song. Keywords: aggressive, male vocals, hard-hitting, aggressive singing."
track_0012100,"A fast-paced, aggressive instrumental rock piece with drums, guitar, and synthesizer sounds. Keywords: heavy metal, electric guitar, drums, synthesizer."
track_0012101,"A fast-paced, hard-hitting instrumental rock piece with distorted electric guitars and a loud, aggressive drum beat. Keywords: rock, instrumental, hard-hitting, aggressive."
track_0012102,"A aggressive male vocalist sings this hard-hitting metal song with distorted electric guitar and heavy drumming. The song is fast-paced and has a violent atmosphere. Keywords: aggressive, hard-hitting, metal, violent."
track_0012303,"A lively jazz piece with a saxophone solo over an upbeat acoustic drum beat and electric bass line. Keywords: jazz, saxophone, drums, bass."
track_0013398,"A slow pop ballad featuring a mellow violin melody over sustained synth brass and punchy kick drums. Keywords: soft, melodic, emotional, uplifting."
track_0012675,"A melodic rock piece with drums, guitar, and bass that conveys a sense of determination and hope. Keywords: rock, melodic, drums, guitar, bass, determined, hopeful."
track_0013823,"The low quality recording features weird, spacey synth pad chords played over quiet, echoing sound effects. It sounds weird and spacey, almost like outer space communication. Keywords: weird, spacey, synth pad chords, quiet sound effects."
track_0013400,"A soothing acoustic guitar melody with gentle strumming and a subtle percussive rhythm. Keywords: soft, melodic, calming, peaceful."
track_0013825,"A soft, emotional male vocal sings over a gentle piano melody and sustained strings in this passionate ballad. Keywords: emotional, soft, passionate, ballad."
track_0013824,"The heavy metal song features a thunderous drum beat and distorted guitar riffs, complemented by a deep, growling bass and aggressive vocals. | heavy metal, drums, guitar, vocals"
track_0013827,"A wide aggressive electric guitar solo melody over wide aggressive drums and distorted bass guitar. | aggressive, electric guitar, drums, distorted bass"
track_0013826,"A heavy distorted electric guitar leads with aggressive drums and bass in this fast-paced rock piece, creating an energetic and violent atmosphere. Keywords: rock, aggressive, distorted, electric guitar."
track_0014014,"A passionate solo piano performance with emotional depth and a sense of drama. Keywords: passionate, emotional, dramatic, solo piano."
track_0014013,"Melancholic instrumental piece for solo piano with a feeling of drama and emotion. Keywords: piano, drama, emotion, melancholy."
track_0014015,"A melodic piano piece with a casual feel, possibly from a video game soundtrack. Keywords: jazz, easy listening, piano, video game."
track_0014016,"A melodic piano piece with an acoustic feel, conveying a sense of hope and beginning. Keywords: uplifting, hopeful, emotional, new start."
track_0014018,"A joyful classical piano piece with a fast tempo and uplifting melody. | joy, classical, piano, uplifting"
track_0014017,"Melancholic piano piece with emotional depth, evoking feelings of nostalgia and longing. Keywords: emotional, nostalgic, longing, melancholic."
track_0014019,"The low quality recording features a groovy piano melody playing over synth bass and it sounds passionate, emotional and energetic. || groovy, passionate, emotional, energetic"
track_0014020,"A poignant piano piece that invokes a sense of drama and emotional depth. | drama, emotion, poignant, piano"
track_0014021,"A poignant piano piece that invokes a sense of drama and emotional depth. Keywords: melodic, emotional, dramatic, poignant."
track_0014022,"A captivating instrumental piece played on the piano evokes emotions, resembling a movie soundtrack with elements of sadness and hopefulness intertwined. Keywords: emotional, melodic, resonant, poignant."
track_0014023,"A poignant piano piece that invokes feelings of hope and emotional depth. Keywords: melodic, emotional, uplifting, piano."
track_0014024,"Melancholic piano piece with emotional depth, evoking passion and nostalgia. Keywords: emotional, passionate, nostalgic, melancholic."
track_0014025,"A melodic piano piece with emotional depth, evoking feelings of joy and peace. Keywords: emotional, joyful, peaceful, piano."
track_0014026,"A passionate melody played on the piano evokes deep emotions. Love, sadness, joy, and hope fill the atmosphere of this composition. || love, sadness, joy, hope"
track_0014028,"Melancholic piano piece with a sense of resolution. || resolution, emotional depth, contemplative, serene"
track_0014027,"A melodic piano piece with a lively feel, conveying emotions through its composition. | emotional, uplifting, joyful, classical"
track_0015159,"A slow electronic piece with synth and drums creating a dark and relaxing atmosphere. Keywords: ambient, electronic, dark, relaxing."
track_0015160,"A gentle rock ballad with a melancholic electric guitar and a soft drum beat. Keywords: rock, ballad, melancholy, electric guitar."
track_0015164,"A soothing instrumental piece with a melody played on bells and synthesizers, accompanied by piano and drums, creating a relaxing and dreamy atmosphere. Keywords: calming, melodic, dreamy, relaxing."
track_0015161,"A dark electronic piece with synthesizers and drums playing an eerie melody, creating an ambient soundscape suitable for a film score. Keywords: electronic, ambient, eerie, synth."
track_0015167,"A slow electronic piece with synthesizers and drums creates a relaxing, ambient atmosphere. Keywords: slow, electronic, synthesizers, drums."
track_0015166,"A fast techno dance instrumental with a steady beat and synthesizers playing a loud melody. Keywords: techno, dance, synth, fast."
track_0015169,"A fast and energetic electronic techno piece with drums, synthesizers, bass, and keyboard playing a repeating melody. | electronic, techno, dance, vibrant"
track_0015171,"A gentle melody plays, resembling a lullaby, with a nostalgic touch of analog synths and piano arpeggios. Keywords: soft, calming, melodic, nostalgic."
track_0015963,"A synthesizer plays soft chords with reverb effect and gentle arpeggiated melody in the background while birds chirp and distant thunder rumbles. Keywords: ambient, atmospheric, relaxing, calming."
track_0015966,"A synthesizer plays an electronic melody at medium tempo with varying harmonies and digital effects. Keywords: electronic, medium tempo, synthesizer, harmony."
track_0015999,"A fast and energetic rock piece with drums, guitar, and bass that creates an epic atmosphere. Keywords: rock, energetic, epic, instruments."
track_0015998,"A slow and dark instrumental rock piece featuring electric guitars and drums, conveying an epic mood. Keywords: rock, instrumental, dark, epic."
track_0016000,"A fast and energetic rock piece with drums, guitar, and bass that creates an uplifting mood. Keywords: rock, energetic, uplifting, instruments."
track_0016038,"A dark electronic techno piece with heavy drums and synthesizers, feeling experimental, soundscape-like, includes bass and piano. Keywords: dark, electronic, techno, experimental."
track_0016039,"A high-energy rock song featuring drums, guitar, and synthesizer. Electric guitar, bass, and vocals also present. Keywords: rock, energetic, drums, guitar."
track_0016040,"A fast and energetic electronic techno piece with loud beats and synthesizers, creating an immersive atmosphere suitable for a video game soundtrack. Keywords: electronic, techno, fast, energetic."
track_0016041,"A fast techno dance instrumental with loud beats and synthesizers, creating an energetic and futuristic atmosphere. Keywords: techno, dance, electronic, ambient."
track_0016092,"A passionate male vocalist sings this emotional melody. Keywords: passionate, emotional, male vocals, melodic."
track_0016101,"A loud and energetic rock song featuring drums, guitar, and bass. Electric guitar, synthesizer, and vocals also present. Keywords: rock, drums, guitar, bass."
track_0016096,"A male vocalist sings this spirited rock song. The tempo is medium with vigorous electric guitar lead, distorted bass lines and hard hitting drums. The song is youthful, passionate, aggressive, loud and boomy with an intense riff. Keywords: Rock, Male vocals, Medium tempo,"
track_0016658,"A male vocalist sings this spirited rock song. The tempo is medium with vigorous electric guitar lead, distorted bass lines, heavy drumming and synthesiser arrangements. The song is youthful, aggressive, loud, boisterous, vital and pulsating. Keywords: Rock, Male vocals"
track_0016659,"A rock song featuring drums, guitar, and bass that conveys a rebellious mood. Keywords: rock, drums, guitar, bass."
track_0016660,"A melodic rock piece with a dominant guitar and drums, featuring an energetic and epic atmosphere that could be classified under the genres rock or alternative. Keywords: rock, alternative, energetic, epic."
track_0016661,"A male vocalist sings this emotional song. The tempo is medium with a groovy bass line, keyboard harmony, steady drumming and guitar accompaniment. The song is youthful, passionate, emotional, sentimental and melodic. Keywords: youthful, passionate, emotional, sentimental."
track_0016662,"A spirited rock song with an electric guitar lead and drums that create an energetic atmosphere. Keywords: rock, electric guitar, drums, energetic."
track_0016663,"A moody instrumental rock song featuring distorted guitar, synth bass, and punchy drums. Keywords: rock, instrumental, moody, energetic."
track_0016664,"A melodic rock piece with drums and electric guitar, featuring a male vocalist, likely alternative or indie genre, includes bass and synthesizer sounds. Keywords: rock, drums, electric guitar, alternative, indie."
track_0016665,"A male vocalist sings this rock song. The tempo is medium with an electric guitar lead, synthesiser arrangements, groovy bass lines and loud drumming. The song is youthful, passionate, melodic, emotional and energetic. Keywords: Rock, Male vocals, Medium tempo,"
track_0017148,"A synth keys melody weaves through arpeggiated bass and syncopated wooden percussion in this eerie, haunting track. || synth keys, arpeggiated bass, syncopated wooden percussion, eerie, haunting"
track_0017146,"A slow ambient electronic piece with synthesizers and piano creating a relaxing soundscape, suitable for meditation or background ambiance. Keywords: ambient, electronic, relaxing, soundscape."
track_0017152,"A spacey, ambient electronic piece with synthesizers and drums creates a dream-like soundscape reminiscent of outer space. Keywords: space, ambient, electronic, dreamy."
track_0017155,"A pensive instrumental with mysterious vibes featuring a melody played on violins and cellos, accompanied by a harp and a woodwind ensemble. Keywords: pensive, mysterious, violin, cello."
track_0017156,"A slow electronic piece with synth and drums creates a dark and relaxing soundscape, perfect for a film background. Keywords: ambient, electronic, dark, relaxing."
track_0017490,"A passionate electric guitar solo melody over a groovy bass and acoustic drums beat, creating an energetic and soulful atmosphere. | electric guitar, groove, energy, soul"
track_0017491,"A passionate electric guitar solo melody over a mellow keys and groovy bass line, with subtle hi hats and soft kick hits, creating an intimate and emotional atmosphere. | electric guitar, keys, bass, drums"
track_0017492,"A passionate electric guitar solo melody over an upbeat rock instrumental, featuring drums and bass. Keywords: passionate, electric guitar, solo, upbeat."
track_0017494,"Electric guitar solo melody over funky bassline and rock acoustic drums. | electric guitar, solo, funky, rock"
track_0017493,"A passionate electric guitar solo over an instrumental rock piece with drums and a clean sound. Keywords: electric guitar, rock, drums, clean sound."
track_0017621,"A male vocalist sings this melodic classical song. The tempo is medium with tabla percussion and Carnatic violin accompaniment. The song is devotional, poignant, emotional, inspiring and soulful. This song is Carnatic Classical."
track_0017623,"A calming classical piece played by a sitar and tabla, evoking tranquility and inner peace. Keywords: classical, sitar, tabla, peaceful."
track_0017778,"A slow ambient electronic piece with soft drums and synthesizers creates a relaxing soundscape reminiscent of space. Keywords: ambient, electronic, slow, relaxing."
track_0018229,"A soft, ambient song with gentle synth pads and a soothing piano melody. Keywords: calming, relaxing, atmospheric, dreamy."
track_0018230,"The ambient song features a synth pad playing at a medium-to-high pitch, creating an otherworldly atmosphere that feels both spacey and hypnotic. Keywords: ambient, spacey, hypnotic, otherworldly."
track_0018231,"The low quality recording features an ambient song that consists of synth pad chords played over smooth synth keys chords and short reverberant wind sounds. It sounds calming, relaxing, soft, mellow and hypnotic. || ambient, relaxing, soft, mellow"
track_0018232,"The low quality recording features an echoing synth pad playing over sustained strings chords and it sounds calming, relaxing, soft, mellow and hypnotic. || calming, relaxing, soft, mellow"
track_0018233,"The low-quality recording features an ominous synth pad and mellow synth keys chords played over it. It sounds suspenseful, intense, sinister, scary, and anticipating danger. || ominous, suspenseful, intense, scary"
track_0018235,"The low quality recording features an ambient song that consists of synth pad chords played over shimmering chime bells and synth keys chords. It sounds calming, relaxing, emotional and passionate. Keywords: ambient, calming, relaxing, emotional."
track_0018234,"A soothing instrumental with ambient synth sounds, gentle piano melody, and deep bass. Keywords: calming, relaxing, atmospheric, peaceful."
track_0018243,"The low-quality recording features a relaxing instrumental song that consists of mellow synth pad chords, soft kick hits, shimmering hi hats, and groovy bass guitar. It sounds calming, soothing, and passionate. Keywords: relaxing, instrumental, mellow, soft."
track_0018236,"The low quality recording features an ambient song that consists of wide synth pad chords played over mellow keys chords and soft strings melody. It sounds calming, relaxing, hypnotic and passionate. || ambient, calming, relaxing, hypnotic"
track_0019199,"A passionate electric guitar melody over a groovy bass and punchy kick in a dimly lit room. Keywords: passion, electric guitar, groove, kick."
track_0018851,"A high-energy electronic dance instrumental with synthesizers and drums. | electronic, dance, techno, upbeat"
track_0019203,"A soothing instrumental piece with gentle synth arpeggios and a simple percussion beat. Keywords: calming, melodic, atmospheric, serene."
track_0019202,"A joyful classical piece played by strings, piano, and drums. Joyful, melodic, uplifting, ambient. || joy, melody, uplifting, ambient"
track_0019205,"A dreamy synth pop instrumental with ethereal quality, featuring soothing piano and guitar arpeggios, shimmering bells, and groovy bass. Keywords: dreamy, synth pop, ethereal, soothing."
track_0019234,"A spirited rock song features an energetic male vocalist singing over shimmering cymbals, groovy bass, electric guitar riffs, and punchy drums. Keywords: rock, spirited, energetic, male vocals."
track_0019236,"A male vocalist sings this spirited rock song. The tempo is fast with an electric guitar lead, vigorous drumming, synthesiser articulation and bass lines. The song is youthful, enthusiastic, loud, boomy, psychedelic and high-powered. Keywords: Rock, Male vocals,"
track_0019235,"A passionate male vocalist sings this emotional melody. Keywords: passionate, male vocals, emotional, melodic."
track_0019237,"A passionate male vocalist sings this emotional rock song featuring electric guitar lead, drums, bass, and synthesizer. Keywords: Rock, Emotional, Male Vocals, Passionate."
track_0019238,"A dynamic rock song featuring drums, guitar, and vocals. Electric, energetic, melodic, passionate. || electric, energetic, melodic, passionate"
track_0019240,"A passionate male vocalist sings this energetic rock song. Keywords: Rock, Male vocals, Passionate, Energy."
track_0019239,"A passionate male vocalist sings this spirited rock song. The tempo is medium with a vigorous electric guitar lead, groovy bass lines, hard hitting drums and keyboard accompaniment. The song is youthful, energetic, enthusiastic, loud, boomy, psychedelic and trippy. This"
